Date,Close,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8
11/8/2017,0.219354142,0.254239119,0.326979155,0.335889405,0.330111243,0.354843936,0.312884761,0.227940382,0.204449725
11/9/2017,0.214764013,0.219354142,0.254239119,0.326979155,0.335889405,0.330111243,0.354843936,0.312884761,0.227940382
11/10/2017,0.176908953,0.214764013,0.219354142,0.254239119,0.326979155,0.335889405,0.330111243,0.354843936,0.312884761
11/13/2017,0.086996436,0.176908953,0.214764013,0.219354142,0.254239119,0.326979155,0.335889405,0.330111243,0.354843936
11/14/2017,0.101630846,0.086996436,0.176908953,0.214764013,0.219354142,0.254239119,0.326979155,0.335889405,0.330111243
11/15/2017,0.094178637,0.101630846,0.086996436,0.176908953,0.214764013,0.219354142,0.254239119,0.326979155,0.335889405
11/16/2017,0,0.094178637,0.101630846,0.086996436,0.176908953,0.214764013,0.219354142,0.254239119,0.326979155
11/17/2017,0.059941678,0,0.094178637,0.101630846,0.086996436,0.176908953,0.214764013,0.219354142,0.254239119
11/20/2017,0.048115347,0.059941678,0,0.094178637,0.101630846,0.086996436,0.176908953,0.214764013,0.219354142
11/21/2017,0.109677071,0.048115347,0.059941678,0,0.094178637,0.101630846,0.086996436,0.176908953,0.214764013
11/22/2017,0.101360838,0.109677071,0.048115347,0.059941678,0,0.094178637,0.101630846,0.086996436,0.176908953
11/23/2017,0.103682903,0.101360838,0.109677071,0.048115347,0.059941678,0,0.094178637,0.101630846,0.086996436
11/24/2017,0.117831299,0.103682903,0.101360838,0.109677071,0.048115347,0.059941678,0,0.094178637,0.101630846
11/27/2017,0.124365482,0.117831299,0.103682903,0.101360838,0.109677071,0.048115347,0.059941678,0,0.094178637
11/28/2017,0.133977751,0.124365482,0.117831299,0.103682903,0.101360838,0.109677071,0.048115347,0.059941678,0
11/29/2017,0.199535587,0.133977751,0.124365482,0.117831299,0.103682903,0.101360838,0.109677071,0.048115347,0.059941678
11/30/2017,0.209741873,0.199535587,0.133977751,0.124365482,0.117831299,0.103682903,0.101360838,0.109677071,0.048115347
12/1/2017,0.255427152,0.209741873,0.199535587,0.133977751,0.124365482,0.117831299,0.103682903,0.101360838,0.109677071
12/4/2017,0.218598121,0.255427152,0.209741873,0.199535587,0.133977751,0.124365482,0.117831299,0.103682903,0.101360838
12/5/2017,0.156982396,0.218598121,0.255427152,0.209741873,0.199535587,0.133977751,0.124365482,0.117831299,0.103682903
12/6/2017,0.141321957,0.156982396,0.218598121,0.255427152,0.209741873,0.199535587,0.133977751,0.124365482,0.117831299
12/7/2017,0.147964143,0.141321957,0.156982396,0.218598121,0.255427152,0.209741873,0.199535587,0.133977751,0.124365482
12/8/2017,0.212549951,0.147964143,0.141321957,0.156982396,0.218598121,0.255427152,0.209741873,0.199535587,0.133977751
12/11/2017,0.200399611,0.212549951,0.147964143,0.141321957,0.156982396,0.218598121,0.255427152,0.209741873,0.199535587
12/12/2017,0.200237607,0.200399611,0.212549951,0.147964143,0.141321957,0.156982396,0.218598121,0.255427152,0.209741873
12/13/2017,0.261367318,0.200237607,0.200399611,0.212549951,0.147964143,0.141321957,0.156982396,0.218598121,0.255427152
12/14/2017,0.357544011,0.261367318,0.200237607,0.200399611,0.212549951,0.147964143,0.141321957,0.156982396,0.218598121
12/15/2017,0.35857004,0.357544011,0.261367318,0.200237607,0.200399611,0.212549951,0.147964143,0.141321957,0.156982396
12/18/2017,0.444972459,0.35857004,0.357544011,0.261367318,0.200237607,0.200399611,0.212549951,0.147964143,0.141321957
12/19/2017,0.446214494,0.444972459,0.35857004,0.357544011,0.261367318,0.200237607,0.200399611,0.212549951,0.147964143
12/20/2017,0.477265363,0.446214494,0.444972459,0.35857004,0.357544011,0.261367318,0.200237607,0.200399611,0.212549951
12/21/2017,0.495517875,0.477265363,0.446214494,0.444972459,0.35857004,0.357544011,0.261367318,0.200237607,0.200399611
12/22/2017,0.554541527,0.495517875,0.477265363,0.446214494,0.444972459,0.35857004,0.357544011,0.261367318,0.200237607
12/27/2017,0.58251431,0.554541527,0.495517875,0.477265363,0.446214494,0.444972459,0.35857004,0.357544011,0.261367318
12/28/2017,0.527540771,0.58251431,0.554541527,0.495517875,0.477265363,0.446214494,0.444972459,0.35857004,0.357544011
12/29/2017,0.545469273,0.527540771,0.58251431,0.554541527,0.495517875,0.477265363,0.446214494,0.444972459,0.35857004
1/2/2018,0.632627714,0.545469273,0.527540771,0.58251431,0.554541527,0.495517875,0.477265363,0.446214494,0.444972459
1/3/2018,0.626309537,0.632627714,0.545469273,0.527540771,0.58251431,0.554541527,0.495517875,0.477265363,0.446214494
1/4/2018,0.671886813,0.626309537,0.632627714,0.545469273,0.527540771,0.58251431,0.554541527,0.495517875,0.477265363
1/5/2018,0.693163409,0.671886813,0.626309537,0.632627714,0.545469273,0.527540771,0.58251431,0.554541527,0.495517875
1/8/2018,0.733178529,0.693163409,0.671886813,0.626309537,0.632627714,0.545469273,0.527540771,0.58251431,0.554541527
1/9/2018,0.755589156,0.733178529,0.693163409,0.671886813,0.626309537,0.632627714,0.545469273,0.527540771,0.58251431
1/10/2018,0.7285884,0.755589156,0.733178529,0.693163409,0.671886813,0.626309537,0.632627714,0.545469273,0.527540771
1/11/2018,0.786370018,0.7285884,0.755589156,0.733178529,0.693163409,0.671886813,0.626309537,0.632627714,0.545469273
1/12/2018,0.808726644,0.786370018,0.7285884,0.755589156,0.733178529,0.693163409,0.671886813,0.626309537,0.632627714
1/15/2018,0.790420132,0.808726644,0.786370018,0.7285884,0.755589156,0.733178529,0.693163409,0.671886813,0.626309537
1/16/2018,0.8178529,0.790420132,0.808726644,0.786370018,0.7285884,0.755589156,0.733178529,0.693163409,0.671886813
1/17/2018,0.756831191,0.8178529,0.790420132,0.808726644,0.786370018,0.7285884,0.755589156,0.733178529,0.693163409
1/18/2018,0.735500594,0.756831191,0.8178529,0.790420132,0.808726644,0.786370018,0.7285884,0.755589156,0.733178529
1/19/2018,0.789502106,0.735500594,0.756831191,0.8178529,0.790420132,0.808726644,0.786370018,0.7285884,0.755589156
1/22/2018,0.846527703,0.789502106,0.735500594,0.756831191,0.8178529,0.790420132,0.808726644,0.786370018,0.7285884
1/23/2018,0.921481801,0.846527703,0.789502106,0.735500594,0.756831191,0.8178529,0.790420132,0.808726644,0.786370018
1/24/2018,0.986175613,0.921481801,0.846527703,0.789502106,0.735500594,0.756831191,0.8178529,0.790420132,0.808726644
