Class,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8
0,0.742196782,0.82249703,0.939734313,0.999459985,0.958364834,0.900313209,1,0.954206718
0,0.802354466,0.742196782,0.82249703,0.939734313,0.999459985,0.958364834,0.900313209,1
0,0.756129172,0.802354466,0.742196782,0.82249703,0.939734313,0.999459985,0.958364834,0.900313209
0,0.688087266,0.756129172,0.802354466,0.742196782,0.82249703,0.939734313,0.999459985,0.958364834
1,0.659358462,0.688087266,0.756129172,0.802354466,0.742196782,0.82249703,0.939734313,0.999459985
1,0.650664219,0.659358462,0.688087266,0.756129172,0.802354466,0.742196782,0.82249703,0.939734313
1,0.671130792,0.650664219,0.659358462,0.688087266,0.756129172,0.802354466,0.742196782,0.82249703
0,0.764337401,0.671130792,0.650664219,0.659358462,0.688087266,0.756129172,0.802354466,0.742196782
0,0.781455881,0.764337401,0.671130792,0.650664219,0.659358462,0.688087266,0.756129172,0.802354466
1,0.75855924,0.781455881,0.764337401,0.671130792,0.650664219,0.659358462,0.688087266,0.756129172
0,0.741602765,0.75855924,0.781455881,0.764337401,0.671130792,0.650664219,0.659358462,0.688087266
0,0.77751377,0.741602765,0.75855924,0.781455881,0.764337401,0.671130792,0.650664219,0.659358462
1,0.770925586,0.77751377,0.741602765,0.75855924,0.781455881,0.764337401,0.671130792,0.650664219
0,0.732692515,0.770925586,0.77751377,0.741602765,0.75855924,0.781455881,0.764337401,0.671130792
0,0.736634626,0.732692515,0.770925586,0.77751377,0.741602765,0.75855924,0.781455881,0.764337401
0,0.725240307,0.736634626,0.732692515,0.770925586,0.77751377,0.741602765,0.75855924,0.781455881
0,0.700075602,0.725240307,0.736634626,0.732692515,0.770925586,0.77751377,0.741602765,0.75855924
1,0.603358894,0.700075602,0.725240307,0.736634626,0.732692515,0.770925586,0.77751377,0.741602765
0,0.503024085,0.603358894,0.700075602,0.725240307,0.736634626,0.732692515,0.770925586,0.77751377
1,0.528350794,0.503024085,0.603358894,0.700075602,0.725240307,0.736634626,0.732692515,0.770925586
1,0.524084674,0.528350794,0.503024085,0.603358894,0.700075602,0.725240307,0.736634626,0.732692515
