Date,Open,High,Low,Close,Volume
7-Mar-18,799.11,806.37,794.85,798.41,"68,545,055"
8-Mar-18,799.89,812.8,799.64,812.53,"32,283,044"
9-Mar-18,812.45,821.57,811.79,821.57,"49,016,103"
12-Mar-18,824.49,838.69,822.82,831.74,"39,627,462"
13-Mar-18,831.6,834.97,826.79,829.33,"35,416,574"
14-Mar-18,829.36,830.15,820.25,823.82,"24,147,149"
15-Mar-18,825.33,825.33,813.42,817.69,"59,511,779"
16-Mar-18,817.61,818.22,811.02,813.91,"61,283,821"
19-Mar-18,812.39,813.82,804.57,807.44,"26,076,358"
20-Mar-18,803.05,811.89,796.86,805.58,"64,134,085"
21-Mar-18,805.46,810.74,799.39,800.1,"111,347,110"
22-Mar-18,799.88,804.83,786.58,787.5,"57,520,979"
23-Mar-18,782.64,791.5,777.37,785.72,"49,267,602"
26-Mar-18,786.9,791.93,785.47,790.05,"25,736,311"
27-Mar-18,796.81,800.84,794.3,794.56,"59,509,284"
28-Mar-18,792.09,792.17,782.79,790.8,"44,020,755"
29-Mar-18,791.8,796,779.96,780.5,"76,609,773"
3-Apr-18,776.5,779.97,767.17,779.45,"41,110,934"
4-Apr-18,779.56,788.57,779.56,781.14,"31,371,882"
5-Apr-18,785.9,801.18,785.9,801.14,"44,532,087"
10-Apr-18,805.87,814.57,805.3,810.54,"100,920,633"
11-Apr-18,808.87,812.42,796.13,799.31,"29,580,816"
12-Apr-18,796.81,806.08,795.76,806.08,"53,069,147"
13-Apr-18,807.41,813.85,806.42,810.93,"49,980,815"
16-Apr-18,812.18,826.98,809.26,820.88,"125,980,869"
17-Apr-18,823.45,838.55,823.23,836.94,"70,575,119"
18-Apr-18,839.01,842.4,832.43,842.34,"48,755,584"
19-Apr-18,840.06,850.02,839.32,848.71,"105,162,119"
20-Apr-18,845.83,847.32,835.53,844.7,"30,810,118"
23-Apr-18,844.58,849.75,837.82,838.63,"28,905,556"
24-Apr-18,841.9,842.97,833.2,837.53,"32,973,054"
25-Apr-18,833.26,834.46,821.96,825.93,"39,907,228"
26-Apr-18,827.85,841.2,827.85,835.8,"37,599,314"
27-Apr-18,837.29,849.31,837.29,849.26,"74,714,883"
30-Apr-18,851.61,859.6,850,858.22,"77,592,090"
2-May-18,859.28,863.48,855.34,858.06,"46,546,146"
3-May-18,854.47,854.87,839.34,839.34,"43,101,466"
4-May-18,842.52,842.52,820.9,823.89,"55,265,573"
7-May-18,825.67,826.25,805.53,810.72,"46,004,529"
8-May-18,813.8,818.63,786.81,817.92,"77,571,149"
9-May-18,820.32,827.79,818.49,818.67,"44,038,374"
10-May-18,821.78,824.88,815.51,817.66,"32,241,106"
11-May-18,818.91,823.54,818.27,822.37,"34,031,027"
14-May-18,821.32,821.47,808.6,815.99,"22,535,298"
15-May-18,815.29,815.39,798.37,799.37,"57,445,066"
16-May-18,799.33,803.24,786.54,787.9,"63,476,077"
17-May-18,786.67,795.51,786.05,786.2,"39,139,939"
18-May-18,785.63,796.56,782.8,782.8,"35,276,753"
21-May-18,786.91,789.1,779.76,784.46,"30,096,280"
22-May-18,785.33,802,784.94,797.65,"58,424,571"
23-May-18,795.33,795.83,784.93,784.93,"26,409,279"
24-May-18,787.16,794.05,770.89,770.89,"35,916,178"
25-May-18,774.59,776.95,754.78,755.63,"49,244,877"
29-May-18,753.32,753.32,735.66,738.08,"54,863,440"
30-May-18,742.64,757.35,742.64,749.28,"58,352,890"
31-May-18,750.61,761.45,750.61,755.85,"98,107,159"
1-Jun-18,757.05,776.81,757.05,776.77,"36,451,786"
4-Jun-18,777.54,781.46,774.13,778.57,"20,962,524"
5-Jun-18,775.1,790.09,775.1,789.32,"22,516,766"
6-Jun-18,786.8,787.79,778.85,781.05,"18,364,118"
7-Jun-18,781.96,786.69,778.62,778.62,"18,128,467"
8-Jun-18,776.19,776.19,765.1,773.06,"38,013,144"
11-Jun-18,764.43,771.3,758.96,758.96,"27,387,661"
12-Jun-18,761.33,769.11,758.4,762.43,"24,058,497"
13-Jun-18,761.6,772.52,756.9,769.68,"34,449,921"
14-Jun-18,767.72,779.66,767.02,778.71,"47,167,841"
